sessionID,duration
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:20.763000
ID01_Session04,00:00:37.904000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:36.326000
ID01_Session04,00:00:19.999000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:06.109000
ID01_Session04,00:00:00.110000
ID01_Session04,00:00:00.110000
ID01_Session04,00:00:00.109000
ID01_Session04,00:00:03.016000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.141000
ID01_Session04,00:00:03.360000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.109000
ID01_Session04,00:00:00.157000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.141000
ID01_Session04,00:00:55.576000
ID01_Session04,00:00:11.687000
ID01_Session04,00:00:00.157000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:02.250000
ID01_Session04,00:00:00.656000
ID01_Session04,00:00:03.234000
ID01_Session04,00:00:03.922000
ID01_Session04,00:00:04.828000
ID01_Session04,00:00:01.984000
ID01_Session04,00:00:03.500000
ID01_Session04,00:00:11.813000
ID01_Session04,00:00:01.343000
ID01_Session04,00:00:00.328000
ID01_Session04,00:00:01.657000
ID01_Session04,00:00:00.390000
ID01_Session04,00:00:00.422000
ID01_Session04,00:00:00.453000
ID01_Session04,00:00:00.547000
ID01_Session04,00:00:00.625000
ID01_Session04,00:00:00.938000
ID01_Session04,00:00:00.656000
ID01_Session04,00:00:00.937000
ID01_Session04,00:00:00.500000
ID01_Session04,00:00:00.438000
ID01_Session04,00:00:00.781000
ID01_Session04,00:00:00.500000
ID01_Session04,00:00:01.109000
ID01_Session04,00:00:08.110000
ID01_Session04,00:00:46.296000
ID01_Session04,00:00:00.516000
ID01_Session04,00:00:00.843000
ID01_Session04,00:00:06.735000
ID01_Session04,00:00:00.609000
ID01_Session04,00:00:01.172000
ID01_Session04,00:00:00.922000
ID01_Session04,00:00:14.984000
ID01_Session04,00:00:00.453000
ID01_Session04,00:00:00.688000
ID01_Session04,00:00:00.437000
ID01_Session04,00:00:00.750000
ID01_Session04,00:00:01.484000
ID01_Session04,00:00:00.672000
ID01_Session04,00:00:40.375000
ID01_Session04,00:00:00.656000
ID01_Session04,00:00:00.781000
ID01_Session04,00:00:00.578000
ID01_Session04,00:00:00.703000
ID01_Session04,00:00:00.954000
ID01_Session04,00:00:00.468000
ID01_Session04,00:00:01.625000
ID01_Session04,00:00:08.235000
ID01_Session04,00:01:01.296000
ID01_Session04,00:00:00.484000
ID01_Session04,00:00:00.562000
ID01_Session04,00:00:00.422000
ID01_Session04,00:00:00.578000
ID01_Session04,00:00:00.641000
ID01_Session04,00:00:02.609000
ID01_Session04,00:00:00.672000
ID01_Session04,00:00:00.657000
ID01_Session04,00:00:01.046000
ID01_Session04,00:00:06.688000
ID01_Session04,00:00:05.203000
ID01_Session04,00:00:00.625000
ID01_Session04,00:00:00.812000
ID01_Session04,00:00:00.563000
ID01_Session04,00:00:00.422000
ID01_Session04,00:00:22.671000
ID01_Session04,00:00:29.031000
ID01_Session04,00:00:00.781000
ID01_Session04,00:00:01.047000
ID01_Session04,00:00:00.844000
ID01_Session04,00:00:00.438000
ID01_Session04,00:00:00.828000
ID01_Session04,00:00:01.015000
ID01_Session04,00:01:37.140000
ID01_Session04,00:00:02.796000
ID01_Session04,00:00:00.938000
ID01_Session04,00:00:06.828000
ID01_Session04,00:00:07.531000
ID01_Session04,00:00:00.485000
ID01_Session04,00:00:01.156000
ID01_Session04,00:00:07.234000
ID01_Session04,00:00:03.328000
ID01_Session04,00:00:00.094000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:13.765000
ID01_Session04,00:00:00.141000
ID01_Session04,00:00:02.860000
ID01_Session04,00:00:00.844000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:23.219000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:06.265000
ID01_Session04,00:00:00.141000
ID01_Session04,00:00:00.734000
ID01_Session04,00:00:00.093000
ID01_Session04,00:00:58.469000
ID01_Session04,00:00:49.171000
ID01_Session04,00:00:38.922000
ID01_Session04,00:00:00.765000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:00.719000
ID01_Session04,00:00:00.140000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:00.563000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:01.407000
ID01_Session04,00:00:00.141000
ID01_Session04,00:00:54.094000
ID01_Session04,00:00:01.828000
ID01_Session04,00:00:00.094000
ID01_Session04,00:00:28.828000
ID01_Session04,00:00:18.828000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:05.781000
ID01_Session04,00:00:00.140000
ID01_Session04,00:00:02.906000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:19.156000
ID01_Session05,00:00:01.266000
ID01_Session05,00:00:02.203000
ID01_Session05,00:00:00.328000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.156000
ID01_Session05,00:00:04.797000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:02.250000
ID01_Session05,00:00:00.203000
ID01_Session05,00:00:12.234000
ID01_Session05,00:00:00.156000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:09.859000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:00.891000
ID01_Session05,00:00:00.234000
ID01_Session05,00:00:01.157000
ID01_Session05,00:00:00.093000
ID01_Session05,00:00:01.125000
ID01_Session05,00:00:00.594000
ID01_Session05,00:00:00.094000
ID01_Session05,00:00:07.734000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:00
ID01_Session05,00:00:00.094000
ID01_Session05,00:00:00.063000
ID01_Session05,00:00:18.187000
ID01_Session05,00:00:30.766000
ID01_Session05,00:00:00.203000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:10.516000
ID01_Session05,00:00:31.906000
ID01_Session05,00:00:21.344000
ID01_Session05,00:00:00.157000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:13.375000
ID01_Session05,00:00:00.188000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:01.781000
ID01_Session05,00:00:05.547000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:08.766000
ID01_Session05,00:00:00.156000
ID01_Session05,00:00:01.141000
ID01_Session05,00:00:00.156000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:00.093000
ID01_Session05,00:00:09.500000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:08.985000
ID01_Session05,00:00:00.172000
ID01_Session05,00:00:14.750000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:33
ID01_Session05,00:00:00.078000
ID01_Session05,00:00:01.797000
ID01_Session05,00:00:00.359000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:00.156000
ID01_Session05,00:00:01.578000
ID01_Session05,00:00:00.282000
ID01_Session05,00:00:00.250000
ID01_Session05,00:00:00.187000
ID01_Session05,00:00:03.063000
ID01_Session05,00:00:00.546000
ID01_Session05,00:00:01.204000
ID01_Session05,00:00:00.468000
ID01_Session05,00:00:00.360000
ID01_Session05,00:00:00.375000
ID01_Session05,00:00:00.265000
ID01_Session05,00:00:00.313000
ID01_Session05,00:00:00.531000
ID01_Session05,00:00:01.641000
ID01_Session05,00:00:00.203000
ID01_Session05,00:00:28.297000
ID01_Session05,00:00:00.422000
ID01_Session05,00:00:00.515000
ID01_Session05,00:00:00.969000
ID01_Session05,00:00:00.672000
ID01_Session05,00:00:04.563000
ID01_Session05,00:00:00.796000
ID01_Session05,00:00:29.751000
ID01_Session05,00:00:39.953000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:19.032000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:16.734000
ID01_Session05,00:00:45.314000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:09.361000
ID01_Session05,00:00:01.813000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:00.187000
ID01_Session05,00:00:40.459000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:00.203000
ID01_Session05,00:00:01.281000
ID01_Session05,00:00:00.094000
ID01_Session05,00:00:00.047000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:00
ID01_Session05,00:00:00.078000
ID01_Session05,00:00:00.547000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:03.157000
ID01_Session05,00:00:04.078000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:02.750000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:00.093000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:10.454000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:09.594000
ID01_Session05,00:00:00.157000
ID01_Session05,00:00:00.157000
ID01_Session05,00:00:12.141000
ID01_Session05,00:00:00.110000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:03.703000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:06.453000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:19.001000
ID01_Session05,00:00:00.140000
ID01_Session05,00:00:00.141000
ID01_Session05,00:00:00.125000
ID01_Session05,00:00:04.188000
ID01_Session05,00:00:00.156000
ID01_Session05,00:00:07.391000
ID01_Session05,00:00:00.109000
ID01_Session05,00:00:06.985000
ID01_Session05,00:00:08.813000
ID01_Session05,00:00:01
ID01_Session05,00:00:00.188000
ID01_Session05,00:00:00.187000
ID01_Session05,00:00:00.172000
ID01_Session05,00:00:00.625000
ID01_Session05,00:00:00.625000
ID01_Session05,00:00:00.375000
ID01_Session05,00:00:01.047000
ID01_Session05,00:00:01.297000
ID01_Session05,00:00:01.734000
ID01_Session05,00:00:05.297000
ID01_Session05,00:00:03.094000
ID01_Session05,00:00:02.344000
ID01_Session05,00:00:01.688000
ID01_Session05,00:00:01.250000
ID01_Session05,00:00:01.750000
ID01_Session05,00:00:00.828000
ID01_Session05,00:00:00.485000
