"","userID","sessionID","actionTaken","timelineMSEC","durationMSEC","X","Y","Rel__dist_","Total_dist_"
"218","ID01","ID01_Session02","Left mouse button pressed",1637083,94,"963","367","279.89","383.56"
"219","ID01","ID01_Session02","Left mouse button pressed",1687332,125,"28","55","493.64","753.80"
"220","ID01","ID01_Session02","Left mouse button pressed",1689629,157,"137","548","504.91","1205.44"
"221","ID01","ID01_Session02","Left mouse button pressed",1698098,109,"739","478","369.91","504.12"
"222","ID01","ID01_Session02","Left mouse button pressed",1711129,110,"527","401","225.55","236.52"
"223","ID01","ID01_Session02","Left mouse button pressed",1726598,109,"19","57","613.51","1098.20"
"224","ID01","ID01_Session02","Left mouse button pressed",1728473,94,"83","422","370.57","540.16"
"225","ID01","ID01_Session02","Left mouse button pressed",1748770,78,"1022","876","1038.19","1630.87"
"226","ID01","ID01_Session02","Left mouse button pressed",1750957,94,"1150","852","130.23","316.84"
"227","ID01","ID01_Session02","Left mouse button pressed",1753535,125,"976","787","179.32","195.00"
"228","ID01","ID01_Session02","Left mouse button pressed",1757863,94,"1197","816","278.10","450.98"
"229","ID01","ID01_Session03","Left mouse button pressed",0,62,"275","526","593.55","3202.96"
"230","ID01","ID01_Session03","Left mouse button pressed",37171,94,"23","67","616.24","746.60"
"231","ID01","ID01_Session03","Left mouse button pressed",40640,78,"462","729","794.33","3000.78"
"232","ID01","ID01_Session03","Left mouse button pressed",68811,94,"494","590","122.00","981.44"
"233","ID01","ID01_Session03","Left mouse button pressed",87311,359,"339","626","155.43","1295.49"
"234","ID01","ID01_Session03","Left mouse button pressed",87858,93,"484","629","0.00","0.00"
"235","ID01","ID01_Session03","Left mouse button pressed",159325,109,"25","64","796.19","866.94"
"236","ID01","ID01_Session03","Left mouse button pressed",173106,125,"610","448","262.93","845.50"
"237","ID01","ID01_Session03","Left mouse button pressed",180621,79,"517","440","198.28","468.19"
"238","ID01","ID01_Session03","Left mouse button pressed",233120,94,"601","785","355.08","1347.81"
"239","ID01","ID01_Session03","Left mouse button pressed",246167,516,"479","567","157.87","824.34"
"240","ID01","ID01_Session03","Left mouse button pressed",246886,62,"669","577","23.00","23.00"
"241","ID01","ID01_Session03","Left mouse button pressed",250183,875,"512","598","158.40","529.82"
"242","ID01","ID01_Session03","Left mouse button pressed",251386,93,"692","622","13.60","15.36"
"243","ID01","ID01_Session03","Left mouse button pressed",252292,500,"505","610","187.38","191.81"
"244","ID01","ID01_Session03","Left mouse button pressed",252979,94,"689","624","22.47","23.23"
"245","ID01","ID01_Session03","Left mouse button pressed",328790,63,"22","52","818.34","1319.04"
"246","ID01","ID01_Session03","Left mouse button pressed",342509,109,"73","526","476.74","2220.23"
"247","ID01","ID01_Session03","Left mouse button pressed",350524,94,"238","632","342.12","371.36"
"248","ID01","ID01_Session03","Left mouse button pressed",356915,94,"237","598","34.01","870.57"
"249","ID01","ID01_Session03","Left mouse button pressed",363415,94,"199","601","38.12","55.37"
"250","ID01","ID01_Session03","Left mouse button pressed",420351,110,"29","54","813.30","856.20"
"251","ID01","ID01_Session03","Left mouse button pressed",426148,94,"913","656","1069.51","1632.80"
"252","ID01","ID01_Session03","Left mouse button pressed",438523,62,"481","124","538.98","652.96"
"253","ID01","ID01_Session03","Left mouse button pressed",441007,109,"1178","572","828.56","921.52"
"254","ID01","ID01_Session03","Left mouse button pressed",447663,125,"907","747","183.86","389.88"
"255","ID01","ID01_Session03","Left mouse button pressed",450023,78,"1024","822","138.97","153.87"
"256","ID01","ID01_Session03","Left mouse button pressed",453397,172,"1163","786","143.59","307.26"
"257","ID01","ID01_Session03","Left mouse button pressed",466975,141,"1202","737","59.54","1278.72"
"258","ID01","ID01_Session03","Left mouse button pressed",574005,62,"717","728","441.03","597.19"
"259","ID01","ID01_Session03","Left mouse button pressed",574348,94,"720","716","12.37","12.99"
"260","ID01","ID01_Session03","Left mouse button pressed",645238,93,"1190","651","700.90","1046.54"
"261","ID01","ID01_Session03","Left mouse button pressed",653894,93,"485","116","580.55","696.84"
"262","ID01","ID01_Session03","Left mouse button pressed",655081,94,"74","461","536.61","657.84"
"263","ID01","ID01_Session03","Left mouse button pressed",672940,125,"1191","587","934.85","1152.42"
"264","ID01","ID01_Session03","Left mouse button pressed",702846,172,"335","499","787.71","3009.14"
"265","ID01","ID01_Session03","Left mouse button pressed",708314,625,"217","303","228.78","862.77"
"266","ID01","ID01_Session03","Left mouse button pressed",709143,125,"420","306","6.71","8.41"
"267","ID01","ID01_Session03","Left mouse button pressed",855827,125,"500","482","314.21","948.36"
"268","ID01","ID01_Session03","Left mouse button pressed",858405,47,"20","60","639.13","942.79"
"269","ID01","ID01_Session03","Left mouse button pressed",864593,1187,"175","613","280.18","427.84"
"270","ID01","ID01_Session03","Left mouse button pressed",865983,78,"361","611","4.00","4.00"
"271","ID01","ID01_Session03","Left mouse button pressed",876546,125,"787","492","396.45","1150.29"
"272","ID01","ID01_Session03","Left mouse button pressed",941122,94,"24","70","876.55","1434.66"
"273","ID01","ID01_Session03","Left mouse button pressed",943857,125,"106","565","501.75","1235.27"
"274","ID01","ID01_Session03","Left mouse button pressed",1057605,140,"54","473","331.93","1458.23"
"275","ID01","ID01_Session03","Left mouse button pressed",1060886,125,"159","204","377.13","468.98"
"276","ID01","ID01_Session03","Left mouse button pressed",1070354,94,"51","640","449.18","1566.26"
"277","ID01","ID01_Session03","Left mouse button pressed",1073276,63,"259","535","232.11","591.67"
"278","ID01","ID01_Session03","Left mouse button pressed",1073604,94,"262","552","17.26","18.06"
"279","ID01","ID01_Session03","Left mouse button pressed",1076307,94,"454","531","193.15","388.10"
"280","ID01","ID01_Session03","Left mouse button pressed",1304444,62,"596","723","40.31","383.69"
"281","ID01","ID01_Session03","Left mouse button pressed",1310131,516,"579","723","17.00","30.14"
"282","ID01","ID01_Session03","Left mouse button pressed",1310928,78,"729","753","59.62","61.23"
"283","ID01","ID01_Session03","Left mouse button pressed",1420660,156,"15","60","771.34","2721.87"
"284","ID01","ID01_Session03","Left mouse button pressed",1440472,110,"543","635","69.40","106.38"
"285","ID01","ID01_Session03","Left mouse button pressed",1468331,109,"609","614","69.26","224.69"
