userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime
ID01,ID01_Session05,1,3157,1214071,625
ID01,ID01_Session05,0,4078,1217228,0
ID01,ID01_Session05,0,125,1226385,5079
ID01,ID01_Session05,0,2750,1240278,13768
ID01,ID01_Session05,0,141,1244856,1828
ID01,ID01_Session05,0,125,1245685,688
ID01,ID01_Session05,0,110,1246028,218
ID01,ID01_Session05,0,93,1246232,94
ID01,ID01_Session05,0,109,1246779,454
ID01,ID01_Session05,1,10454,1257249,10361
ID01,ID01_Session05,0,110,1267703,0
ID01,ID01_Session05,1,9594,1270407,2594
ID01,ID01_Session05,0,157,1318768,38767
ID01,ID01_Session05,0,157,1325362,6437
ID01,ID01_Session05,1,12141,1327863,2344
ID01,ID01_Session05,0,110,1341488,1484
ID01,ID01_Session05,0,140,1348989,7391
ID01,ID01_Session05,0,141,1350973,1844
ID01,ID01_Session05,0,140,1351786,672
ID01,ID01_Session05,1,3703,1352208,282
ID01,ID01_Session05,0,141,1355911,0
ID01,ID01_Session05,0,140,1359630,3578
ID01,ID01_Session05,1,6453,1368865,9095
ID01,ID01_Session05,0,141,1375318,0
ID01,ID01_Session05,1,19001,1381006,5547
ID01,ID01_Session05,0,140,1404992,4985
ID01,ID01_Session05,0,141,1412054,6922
ID01,ID01_Session05,0,125,1412758,563
