userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime,X,Y,reldist,totaldist
ID01,ID01_Session02,1,38312,1070915,1969,603,460,29.41,56.58
ID01,ID01_Session02,2,2672,1121992,12765,588,441,-1.00,-1.00
ID01,ID01_Session02,1,18547,1330678,1828,38,570,8.54,14.41
ID01,ID01_Session02,1,46828,1353663,4438,120,555,8.94,13.41
ID01,ID01_Session02,0,78,1400491,0,28,59,455.01,891.21
ID01,ID01_Session02,0,109,1403069,2500,99,466,413.15,1489.11
ID01,ID01_Session02,0,125,1408147,4969,529,523,433.76,1477.45
ID01,ID01_Session02,0,110,1412037,3765,566,509,39.56,67.48
ID01,ID01_Session02,0,94,1423084,10937,243,788,426.81,2587.32
ID01,ID01_Session02,0,93,1427147,3969,277,780,34.93,262.91
ID01,ID01_Session02,0,62,1432881,5641,319,790,43.17,225.36
ID01,ID01_Session02,0,109,1435959,3016,355,791,36.01,95.96
ID01,ID01_Session02,0,63,1440115,4047,409,785,54.33,121.00
ID01,ID01_Session02,0,94,1443443,3265,442,785,33.00,62.47
ID01,ID01_Session02,0,109,1446006,2469,488,793,46.69,53.13
ID01,ID01_Session02,0,94,1448443,2328,518,794,30.02,42.51
ID01,ID01_Session02,0,78,1450287,1750,557,785,40.02,49.66
ID01,ID01_Session02,0,141,1453240,2875,42,699,522.13,531.61
ID01,ID01_Session02,1,15203,1454021,640,69,721,34.83,51.13
ID01,ID01_Session02,0,125,1554302,85078,417,791,342.44,806.10
ID01,ID01_Session02,0,391,1557599,3172,504,784,87.28,491.89
ID01,ID01_Session02,0,78,1558208,218,584,786,8.54,9.65
ID01,ID01_Session02,1,8094,1559333,1047,416,790,168.05,182.25
ID01,ID01_Session02,0,94,1567427,0,210,441,412.17,1006.09
ID01,ID01_Session02,1,1641,1568458,937,277,446,67.19,83.19
ID01,ID01_Session02,0,78,1570099,0,237,680,219.66,263.27
ID01,ID01_Session02,0,125,1573474,3297,268,678,31.06,161.56
ID01,ID01_Session02,0,94,1575224,1625,322,675,54.08,90.41
ID01,ID01_Session02,0,125,1577943,2625,360,673,38.05,38.83
ID01,ID01_Session02,0,63,1580005,1937,401,672,41.01,46.00
ID01,ID01_Session02,0,110,1581536,1468,442,678,41.44,41.79
ID01,ID01_Session02,0,63,1583114,1468,504,680,62.03,73.36
ID01,ID01_Session02,0,78,1583677,500,481,678,23.09,24.41
ID01,ID01_Session02,0,78,1584833,1078,522,679,41.01,47.12
ID01,ID01_Session02,0,47,1585317,406,564,680,42.01,42.16
ID01,ID01_Session02,0,157,1588114,2750,73,746,495.42,549.56
ID01,ID01_Session02,0,125,1589114,843,24,50,697.72,910.01
ID01,ID01_Session02,0,125,1591786,2547,84,465,419.31,659.05
ID01,ID01_Session02,0,109,1601427,9516,1189,436,1105.38,1203.26
ID01,ID01_Session02,1,31281,1601911,375,1120,451,70.61,73.59
ID01,ID01_Session02,0,110,1633192,0,1203,511,937.01,2102.51
ID01,ID01_Session02,0,94,1637083,3781,963,367,279.89,383.56
ID01,ID01_Session02,1,1000,1648223,11046,76,555,906.70,1306.93
ID01,ID01_Session02,1,38109,1649223,0,76,555,0.00,0.00
ID01,ID01_Session02,0,125,1687332,0,28,55,493.64,753.80
ID01,ID01_Session02,0,157,1689629,2172,137,548,504.91,1205.44
ID01,ID01_Session02,1,7766,1690332,546,214,581,83.77,96.59
ID01,ID01_Session02,0,109,1698098,0,739,478,369.91,504.12
ID01,ID01_Session02,0,110,1711129,12922,527,401,225.55,236.52
