Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info,Testing
2010:02:01,14:00:30,185,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Mouse wheel stopped",Mouse wheel stopped,771,524,0.00,0.00,1.00,2 Wheel actions
2010:02:01,14:00:30,185,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,771,524,385.19,504.90,0.76, 
2010:02:01,14:00:30,981,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,811,567,58.73,70.88,0.83, 
2010:02:01,14:00:31,731,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,814,597,30.15,30.71,0.98, 
2010:02:01,14:00:31,919,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,814,597,0.00,0.00,0.00, 
2010:02:01,14:00:32,450,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,873,585,60.21,78.00,0.77, 
2010:02:01,14:00:34,700,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,749,552,128.32,240.39,0.53, 
2010:02:01,14:00:34,934,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,749,552,0.00,0.00,0.00, 
2010:02:01,14:00:35,059,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,749,552,0.00,0.00,0.00, 
2010:02:01,14:00:35,403,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,739,551,10.05,11.00,0.91, 
2010:02:01,14:00:40,575,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,886,589,151.83,810.04,0.19, 
2010:02:01,14:00:41,153,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,854,621,45.25,73.61,0.61, 
2010:02:01,14:00:49,637,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,745,492,168.88,684.58,0.25, 
2010:02:01,14:00:51,652,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,716,535,51.87,114.22,0.45, 
2010:02:01,14:00:51,777,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,716,535,0.00,0.00,0.00, 
2010:02:01,14:00:53,621,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,738,494,46.53,97.57,0.48, 
2010:02:01,14:00:54,449,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,873,495,135.00,137.75,0.98, 
2010:02:01,14:00:55,105,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,878,522,27.46,61.02,0.45, 
2010:02:01,14:00:55,965,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,731,518,147.05,149.06,0.99, 
2010:02:01,14:00:56,215,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,732,483,35.01,35.81,0.98, 
2010:02:01,14:00:56,965,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,876,491,144.22,146.88,0.98, 
2010:02:01,14:00:57,152,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,876,492,1.00,1.00,1.00, 
2010:02:01,14:00:57,262,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,876,492,0.00,0.00,0.00, 
2010:02:01,14:00:58,230,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,828,520,55.57,91.15,0.61, 
2010:02:01,14:00:58,637,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,766,517,62.07,63.65,0.98, 
2010:02:01,14:00:58,871,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,766,517,0.00,0.00,0.00, 
2010:02:01,14:00:58,965,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,766,517,0.00,0.00,0.00, 
2010:02:01,14:00:59,355,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,788,512,22.56,41.65,0.54, 
2010:02:01,14:00:59,808,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,886,509,98.05,101.28,0.97, 
2010:02:01,14:01:00,762,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,867,536,33.02,55.84,0.59, 
2010:02:01,14:01:01,293,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,764,535,103.00,103.41,1.00, 
2010:02:01,14:01:01,652,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,762,555,20.10,70.26,0.29, 
2010:02:01,14:01:01,886,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,876,558,114.04,114.92,0.99, 
2010:02:01,14:01:02,215,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,864,583,27.73,40.79,0.68, 
2010:02:01,14:01:02,496,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,773,582,91.01,91.24,1.00, 
2010:02:01,14:01:03,652,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,750,576,23.77,55.58,0.43, 
2010:02:01,14:01:04,386,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,896,572,146.05,151.03,0.97, 
2010:02:01,14:01:05,011,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,848,597,54.12,76.80,0.70, 
2010:02:01,14:01:05,324,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,745,596,103.00,103.12,1.00, 
2010:02:01,14:01:06,011,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,723,616,29.73,42.00,0.71, 
2010:02:01,14:01:06,371,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Left mouse button released",Left mouse button released,730,615,7.07,7.41,0.95, 
2010:02:01,14:01:08,980,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Mouse wheel",Mouse wheel,730,614,1.00,13.00,0.08, 
2010:02:01,14:01:13,589,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Mouse wheel stopped",Mouse wheel stopped,856,554,0.00,0.00,1.00,2 Wheel actions
